date,symbol,prob,entry,gross_ret,net_ret,hold_days,win,exit_reason
2026-01-16,FPT,0.5374,103.87,-0.05,-0.053,6,0,sl
2026-01-16,GAS,0.5451,99.8,0.08,0.077,2,1,tp
2026-01-16,GVR,0.6162,35.9,0.08,0.077,2,1,tp
2026-01-16,MSN,0.5544,81.4,-0.05,-0.053,6,0,sl
2026-01-16,PLX,0.6354,50.2,0.08,0.077,2,1,tp
2026-01-16,VCB,0.5843,72.39,-0.05,-0.053,5,0,sl
2026-01-19,PNJ,0.6309,76.14,-0.05,-0.053,3,0,sl
2026-01-19,VHM,0.6719,60.19,-0.05,-0.053,3,0,sl
2026-01-19,VIC,0.8665,162.0,-0.05,-0.053,6,0,sl
2026-01-19,VRE,0.6377,30.91,-0.05,-0.053,6,0,sl
2026-01-20,BID,0.5752,49.22,-0.05,-0.053,5,0,sl
2026-01-20,GVR,0.6077,39.0,-0.05,-0.053,1,0,sl
2026-01-20,PLX,0.5528,56.96,-0.05,-0.053,1,0,sl
2026-01-20,STB,0.5409,58.1,0.08,0.077,2,1,tp
2026-01-21,HDB,0.5346,29.05,-0.05,-0.053,8,0,sl
2026-01-22,PDR,0.5527,18.2,-0.05,-0.053,2,0,sl
2026-01-23,DXG,0.5558,13.42,-0.05,-0.053,10,0,sl
